SY,ORG_ID,PK/EEE,K_Full,K_Part,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,AW,ADP,PD,Total
2021,PS066,0,0,0,0,0,0,0,0,0,0,0,325,345,284,343,0,0,0,1297
2021,PS124,0,0,0,0,0,0,0,0,0,57,55,58,58,58,60,0,0,0,346
2021,PS220,0,0,0,0,0,0,0,0,0,59,54,45,37,50,38,0,0,0,283
2021,PS223,10,9,0,7,8,7,11,8,9,0,0,0,0,0,0,0,0,0,69
2021,PS224,0,0,0,0,0,0,0,0,0,0,0,56,81,53,56,0,0,0,246
2021,PS227,216,74,0,67,75,0,0,0,0,0,0,0,0,0,0,0,0,0,432
2021,PS229,45,26,0,28,28,24,34,22,25,0,0,0,0,0,0,0,0,0,232
2021,PS230,0,0,0,0,0,0,0,0,0,47,35,41,36,28,33,0,0,0,220
2021,PS231,19,34,0,30,37,36,29,24,33,0,0,0,0,0,0,0,0,0,242
2021,PS232,19,18,0,12,18,26,16,21,17,0,0,0,0,0,0,0,0,0,147
2021,PS233,0,0,0,0,0,0,0,0,0,16,22,26,20,19,26,0,0,0,129
2021,PS234,14,16,0,18,17,26,20,18,16,25,18,0,0,0,0,0,0,0,188
2021,PS237,0,0,0,0,0,0,0,0,0,73,68,60,64,61,57,0,0,0,383
2021,PS239,8,3,0,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,29
2021,PS240,4,5,0,5,5,4,3,4,4,4,0,0,0,0,0,0,0,0,38
2021,PS241,34,24,0,32,25,31,19,32,0,0,0,0,0,0,0,0,0,0,197
2021,PS242,0,0,0,0,0,0,0,0,24,24,35,40,52,37,16,0,0,0,228
2021,PS243,63,65,0,49,49,51,38,0,0,0,0,0,0,0,0,0,0,0,315
2021,PS244,5,4,0,11,5,7,3,12,6,0,0,0,0,0,0,0,0,0,53
2021,PS245,0,0,0,0,0,0,0,0,67,83,96,0,0,0,0,0,0,0,246
2021,PS246,0,15,0,12,12,21,20,19,21,0,0,0,0,0,0,0,0,0,120
2021,PS247,16,5,0,7,12,14,8,12,9,0,0,0,0,0,0,0,0,0,83
2021,PS249,43,25,0,32,28,36,30,0,0,0,0,0,0,0,0,0,0,0,194
2021,PS250,0,6,0,5,6,6,3,0,0,0,0,0,0,0,0,0,0,0,26
2021,PS253,0,0,0,0,0,0,0,0,0,0,0,204,215,197,178,10,0,0,804
2021,PS255,59,70,0,70,58,0,0,0,0,0,0,0,0,0,0,0,0,0,257
2021,PS256,41,56,0,75,57,0,0,0,0,0,0,0,0,0,0,0,0,0,229
2021,PS258,29,28,0,45,38,24,41,0,75,42,37,0,0,0,0,0,0,0,359
2021,PS259,5,12,0,9,7,11,13,12,15,0,0,0,0,0,0,0,0,0,84
2021,PS260,0,10,0,15,16,20,15,0,0,0,0,0,0,0,0,0,0,0,76
2021,PS262,34,23,0,33,35,32,26,35,33,0,0,0,0,0,0,0,0,0,251
2021,PS263,29,16,0,16,24,13,20,19,19,0,0,0,0,0,0,0,0,0,156
2021,PS264,121,62,0,77,78,65,80,73,77,86,71,0,0,0,0,0,0,0,790
2021,PS266,23,26,0,29,30,34,27,33,29,27,31,0,0,0,0,0,0,0,289
2021,PS267,19,9,0,18,12,11,11,19,22,0,0,0,0,0,0,0,0,0,121
2021,PS268,0,13,0,19,18,14,13,14,7,0,0,0,0,0,0,0,0,0,98
2021,PS269,12,11,0,9,9,11,9,12,7,0,0,0,0,0,0,0,0,0,80
2021,PS270,18,13,0,5,22,11,13,0,0,0,0,0,0,0,0,0,0,0,82
2021,PS271,12,69,0,62,61,60,68,54,0,0,0,0,0,0,0,0,0,0,386
2021,PS272,0,0,0,0,0,0,0,0,0,0,0,234,215,223,208,8,0,0,888
2021,PS273,0,0,0,0,0,0,0,0,146,165,186,0,0,0,0,0,0,0,497
2021,PS274,19,17,0,18,22,13,22,32,0,0,0,0,0,0,0,0,0,0,143
2021,PS276,0,0,0,0,0,0,0,0,0,0,0,144,164,157,167,0,0,0,632
2019,PS064,82,44,0,40,41,53,27,42,0,0,0,0,0,0,0,0,0,0,329
